Date,County,Vegetation_Condition_Index_VCI,Water_Trekking_Distance_KM,Average_Cattle_Price_KES,Cattle_Mortality_Rate_Percent
2020-01-31,Turkana,55.18,11.6,27904,2.36
2020-02-29,Turkana,69.68,3.4,27388,2.22
2020-03-31,Turkana,61.12,5.1,28638,1.36
2020-04-30,Turkana,63.13,5.7,27607,2.0
2020-05-31,Turkana,75.62,3.1,30623,2.01
2020-06-30,Turkana,63.64,9.7,27003,0.71
2020-07-31,Turkana,46.24,11.5,24118,2.31
2020-08-31,Turkana,46.84,11.5,23839,1.51
2020-09-30,Turkana,33.3,14.9,19560,2.15
2020-10-31,Turkana,31.27,11.8,21216,1.14
2020-11-30,Turkana,38.95,13.3,21203,2.29
2020-12-31,Turkana,27.19,17.0,17381,1.28
2021-01-31,Turkana,13.36,25.9,14875,3.94
2021-02-28,Turkana,31.59,15.1,19077,2.31
2021-03-31,Turkana,39.51,13.8,24268,0.68
2021-04-30,Turkana,50.9,9.7,26922,1.14
2021-05-31,Turkana,40.25,10.6,24335,2.4
2021-06-30,Turkana,21.66,20.8,17080,2.4
2021-07-31,Turkana,42.01,13.9,20643,1.65
2021-08-31,Turkana,18.07,21.2,17706,4.6
2021-09-30,Turkana,8.94,20.5,12130,7.63
2021-10-31,Turkana,5.0,26.3,10667,13.14
2021-11-30,Turkana,11.5,18.7,14875,4.25
2021-12-31,Turkana,17.05,21.1,17063,5.4
2022-01-31,Turkana,22.36,22.7,17031,2.0
2022-02-28,Turkana,44.35,9.7,22822,2.08
2022-03-31,Turkana,38.84,12.2,23707,2.08
2022-04-30,Turkana,45.25,11.6,22685,0.68
2022-05-31,Turkana,29.23,15.2,18464,1.49
2022-06-30,Turkana,45.2,8.3,23804,0.62
2022-07-31,Turkana,25.39,17.5,20318,1.6
2022-08-31,Turkana,5.97,21.1,10881,10.1
2022-09-30,Turkana,16.53,21.0,15962,1.69
2022-10-31,Turkana,7.43,20.9,10513,7.28
2022-11-30,Turkana,10.29,25.0,13322,7.83
2022-12-31,Turkana,5.0,21.9,10712,12.81
2023-01-31,Turkana,12.26,20.7,12962,5.06
2023-02-28,Turkana,30.63,17.4,20219,1.74
2023-03-31,Turkana,49.13,7.8,26171,0.7
2023-04-30,Turkana,49.72,10.5,25629,0.67
2023-05-31,Turkana,43.65,14.5,24124,1.9
2023-06-30,Turkana,33.68,11.7,21772,0.65
2023-07-31,Turkana,10.9,22.1,12951,5.71
2023-08-31,Turkana,8.83,22.9,11743,7.4
2023-09-30,Turkana,18.22,21.1,17377,3.95
2023-10-31,Turkana,20.8,16.3,18324,0.67
2023-11-30,Turkana,18.5,16.8,17673,1.36
2023-12-31,Turkana,10.06,23.0,13973,7.72
2024-01-31,Turkana,52.59,9.8,25064,1.24
2024-02-29,Turkana,54.42,9.2,25359,2.13
2024-03-31,Turkana,57.58,8.4,27476,2.39
2024-04-30,Turkana,69.89,2.7,28861,2.47
2024-05-31,Turkana,71.24,4.1,29375,2.01
2024-06-30,Turkana,64.95,6.1,28820,1.25
2024-07-31,Turkana,43.29,10.6,24938,0.67
2024-08-31,Turkana,40.03,16.7,21693,2.05
2024-09-30,Turkana,39.66,14.0,21782,1.62
2024-10-31,Turkana,42.8,9.8,21160,1.35
2024-11-30,Turkana,33.18,16.4,21124,2.31
2024-12-31,Turkana,41.01,10.7,20538,0.72
2025-01-31,Turkana,41.15,14.2,22513,1.49
2025-02-28,Turkana,47.93,12.9,24301,0.52
